Instrumento;Acción;Cantidad;Precio;Tiempo;ID;E/X;Posición;ID de orden;Nombre;Comisión;Tarifa;Nombre de cuenta de pantalla;Conexión;
MNQ 12-25;Vender;1;25644,75;09/12/2025 14:16:00;f7d6acd25582442aa7b9e4f53cfcbfcf;Salida;6 L;5f880785cbe5488d912d5b4b5ed6c19b;Stop1;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25644,75;09/12/2025 14:16:00;08ec50248a594878ad0425b418214889;Salida;7 L;b0dfd61c5d43406496f621c8bffdf979;Stop1;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25644,75;09/12/2025 14:16:00;117b513e4af34221a7dd596b6e916fa1;Salida;8 L;19804a755c564814a10f4a4eef768458;Stop1;0,61 $;1;Sim101;APEX;
MNQ 12-25;Vender;1;25644,75;09/12/2025 14:15:59;7b7a4850d70445ae8a6840ed0cbdb125;Salida;9 L;813ebabe47fc4ea3a7c88d939f62df62;Stop1;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25655,50;09/12/2025 14:14:28;f59e5217fc664efbac41b117d6605893;Entrada;10 L;b81062897bb24beeb625152d432bc9d0;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25655,50;09/12/2025 14:14:19;854f84c3c36846e9a3ab6248ba812294;Entrada;9 L;33041929329d4b749ebfe63f90666d4e;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25654,50;09/12/2025 14:14:15;8bb9553e8736436a9b55d916e496cb05;Entrada;8 L;44ef91ecb43a4c92a1c8f7c69ee1acbc;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25654,50;09/12/2025 14:14:11;749b114c74014076b1bd1cecb506b348;Entrada;7 L;6c2ea763e9424fbca1fe325d7c5c3648;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25652,00;09/12/2025 14:01:57;81ed48ffaaac4e58ae3f2fac7ead42ba;Entrada;6 L;630c8e36fa27432f94da47a4202bc9ec;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25653,75;09/12/2025 14:01:34;65845f9564314fa38669184431b0fc49;Entrada;5 L;f0f97d638570421d9432b7b58ad0c943;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25656,25;09/12/2025 14:01:13;591cbb3c8ccb434abe36090bb78f2100;Entrada;4 L;5a5466ba2e764e00a856928f930ba031;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25659,75;09/12/2025 14:00:20;db51dd9fa6d043afb0b49a3298acdb53;Entrada;3 L;51eee89320f94d00aebe213f95e0fc74;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25664,50;09/12/2025 13:57:54;c478d3283ba1495e801a1acf3f7612bf;Entrada;2 L;ac2af0dab9484bc2ac138a9c230c9ba6;Entry;0,61 $;1;Sim101;APEX;
MNQ 12-25;Comprar;1;25670,00;09/12/2025 13:52:48;3a9b5342d14f492b9cdf1044a96588d5;Entrada;1 L;2c264ac7f1d44ba0be6538332013dcd0;Entry;0,61 $;1;Sim101;APEX;
